place_id,name,business_status,geometry,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJzeD5Imoa2jERih3LNGr2MSM,Buona Vista Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.3093465, 'lng': 103.7931616}, 'viewport': {'northeast': {'lat': 1.310369880291502, 'lng': 103.7945718302915}, 'southwest': {'lat': 1.307671919708498, 'lng': 103.7918738697085}}}",,,"['police', 'point_of_interest', 'establishment']","block 13 Holland Drive, #01-38/40",,1.3093465,103.7931616
ChIJVW-dkcEZ2jER4daYG22LdeA,Tanglin Police Division HQ,OPERATIONAL,"{'location': {'lat': 1.3120546, 'lng': 103.8466991}, 'viewport': {'northeast': {'lat': 1.313424880291502, 'lng': 103.8480714302915}, 'southwest': {'lat': 1.310726919708498, 'lng': 103.8453734697085}}}",,,"['police', 'point_of_interest', 'establishment']","21 Kg Java Road, Singapore",,1.3120546,103.8466991
ChIJVTaajcEZ2jERfuV2MWz-BUE,Kampong Java Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.311967, 'lng': 103.8465345}, 'viewport': {'northeast': {'lat': 1.313260130291502, 'lng': 103.8479808802915}, 'southwest': {'lat': 1.310562169708498, 'lng': 103.8452829197085}}}",,,"['police', 'point_of_interest', 'establishment']",21 Kg Java Road,,1.311967,103.8465345
ChIJzaDud7gZ2jERT-dVKHMMM1k,Rochor Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.3077453, 'lng': 103.854309}, 'viewport': {'northeast': {'lat': 1.309038630291502, 'lng': 103.8557517302915}, 'southwest': {'lat': 1.306340669708498, 'lng': 103.8530537697085}}}",,,"['police', 'point_of_interest', 'establishment']",11 Kampong Kapor Road,,1.3077453,103.854309
ChIJy2sEqooX2jERQ6zE-a-spzE,Geylang Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.3109594, 'lng': 103.8861338}, 'viewport': {'northeast': {'lat': 1.312262380291502, 'lng': 103.8873494302915}, 'southwest': {'lat': 1.309564419708498, 'lng': 103.8846514697085}}}",,,"['police', 'point_of_interest', 'establishment']","1 Cassia Link, Singapore",,1.3109594,103.8861338
ChIJNxwgYhIY2jER6MbZn0utsXI,Joo Chiat Neighbourhood Police Post,OPERATIONAL,"{'location': {'lat': 1.3099274, 'lng': 103.9015236}, 'viewport': {'northeast': {'lat': 1.311208080291502, 'lng': 103.9027737302915}, 'southwest': {'lat': 1.308510119708498, 'lng': 103.9000757697085}}}",,,"['police', 'point_of_interest', 'establishment']","267 Onan Road, Singapore",,1.3099274,103.9015236
ChIJwX4W4J8i2jERildguMCslhw,Marine Parade Neighbourhood Police Centre,OPERATIONAL,"{'location': {'lat': 1.3063262, 'lng': 103.914555}, 'viewport': {'northeast': {'lat': 1.307701680291502, 'lng': 103.9158532802915}, 'southwest': {'lat': 1.305003719708498, 'lng': 103.9131553197085}}}",,,"['police', 'point_of_interest', 'establishment']",300 Marine Parade Road,,1.3063262,103.914555
ChIJF5IEsbsi2jERVgrncP3yTVI,Siglap Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.3139359, 'lng': 103.9297353}, 'viewport': {'northeast': {'lat': 1.315117080291502, 'lng': 103.9311361802915}, 'southwest': {'lat': 1.312419119708498, 'lng': 103.9284382197085}}}",,,"['police', 'local_government_office', 'point_of_interest', 'establishment']",125 Upper East Coast Road,,1.3139359,103.9297353
ChIJr69NlKUa2jERxGztJKJT7Y0,Ayer Rajah Neighbourhood Police Post (e-Kiosk),OPERATIONAL,"{'location': {'lat': 1.3210765, 'lng': 103.7417555}, 'viewport': {'northeast': {'lat': 1.322362980291502, 'lng': 103.7430506802915}, 'southwest': {'lat': 1.319665019708498, 'lng': 103.7403527197085}}}",,,"['police', 'point_of_interest', 'establishment']","43 Teban Gardens Road, #04-391, Singapore",,1.3210765,103.7417555
ChIJCc6Gfoca2jER_27RgUj-s18,Protective Security Command,OPERATIONAL,"{'location': {'lat': 1.3195461, 'lng': 103.7720439}, 'viewport': {'northeast': {'lat': 1.320772880291502, 'lng': 103.7732263302915}, 'southwest': {'lat': 1.318074919708498, 'lng': 103.7705283697085}}}",,,"['police', 'point_of_interest', 'establishment']",300 Ulu Pandan Road,,1.3195461,103.7720439
